Jogador,Posição,Preço,Pontuação Total,Partidas,Média,Média por C$
CTB,Matheus Galdezani,M,11.04,0,0,0,0
CTB,Matheus Sales,M,4.29,0,0,0,0
CTB,Natanael,L,2.47,0,0,0,0
CTB,Nathan ,A,0.74,0,0,0,0
CTB,Nathan Ribeiro,Z,3.0,0,0,0,0
CTB,Nathan Silva,M,2.39,0,0,0,0
CTB,Neilton,A,5.41,0,0,0,0
CTB,Patrick Vieira,L,4.64,0,0,0,0
CTB,Rafael Lima,Z,3.0,0,0,0,0
CTB,Rafinha,M,7.0,0,0,0,0
CTB,Ramón Martínez,M,3.25,0,0,0,0
CTB,Renê Júnior,M,1.6,0,0,0,0
CTB,Rhodolfo,Z,4.64,0,0,0,0
CTB,Robson,A,9.46,0,0,0,0
CTB,Rodolfo Filemon,Z,1.44,0,0,0,0
CTB,Sabino,Z,8.15,0,0,0,0
CTB,Sarrafiore,M,1.95,0,0,0,0
CTB,Thiago Lopes,M,2.72,0,0,0,0
CTB,Wanderley,A,3.26,0,0,0,0
CTB,Wellissol ,A,1.1,0,0,0,0
CTB,William Matheus,L,5.71,0,0,0,0
CTB,Wilson,G,10.93,0,0,0,0
CTB,Yan Sasse,M,0.86,0,0,0,0
FLA,Arrascaeta,M,18.54,0,0,0,0
FLA,Bruno Henrique,A,11.48,0,0,0,0
FLA,César,G,3.38,0,0,0,0
FLA,Diego,M,4.5,0,0,0,0
FLA,Diego Alves,G,10.72,0,0,0,0
FLA,Everton Ribeiro,M,7.62,0,0,0,0
FLA,Filipe Luís,L,6.56,0,0,0,0
FLA,Gabriel,A,13.46,0,0,0,0
FLA,Gabriel Batista,G,1.56,0,0,0,0
FLA,Gerson,M,9.07,0,0,0,0
FLA,Gomes,M,1.0,0,0,0,0
FLA,Guilherme Bala,A,1.0,0,0,0,0
FLA,Gustavo Henrique,Z,5.46,0,0,0,0
FLA,Hugo Souza,G,2.0,0,0,0,0
FLA,Isla,L,8.37,0,0,0,0
FLA,João Fernando,G,1.0,0,0,0,0
FLA,João Lucas,L,4.17,0,0,0,0
FLA,Lincoln,A,2.79,0,0,0,0
FLA,Léo Pereira,Z,5.24,0,0,0,0
FLA,Matheuzinho,L,2.32,0,0,0,0
FLA,Michael,A,6.56,0,0,0,0
FLA,Natan,Z,1.0,0,0,0,0
FLA,Pedro,A,3.25,0,0,0,0
FLA,Pedro Rocha,A,3.82,0,0,0,0
FLA,Pepê,M,2.0,0,0,0,0
FLA,Ramon,L,1.54,0,0,0,0
FLA,Renê,L,6.17,0,0,0,0
FLA,Rodrigo Caio,Z,8.92,0,0,0,0
FLA,Rodrigo Muniz,A,2.0,0,0,0,0
FLA,Thiago Maia,M,6.16,0,0,0,0
FLA,Thuler,Z,2.37,0,0,0,0
FLA,Vitinho,A,6.02,0,0,0,0
FLA,Willian Arão,M,8.7,0,0,0,0
FLU,André,M,0.76,0,0,0,0
FLU,Caio Paulista,A,3.31,0,0,0,0
FLU,Calegari,L,5.21,0,0,0,0
FLU,Daniel,L,1.0,0,0,0,0
FLU,Danilo Barcelos,L,2.17,0,0,0,0
FLU,Digão,Z,4.91,0,0,0,0
FLU,Dodi,M,10.65,0,0,0,0
FLU,Egídio,L,10.22,0,0,0,0
FLU,Felippe Cardoso,A,2.33,0,0,0,0
FLU,Fernando Pacheco,A,2.46,0,0,0,0
FLU,Frazan,Z,3.0,0,0,0,0
FLU,Fred,A,2.99,0,0,0,0
FLU,Ganso,M,4.15,0,0,0,0
FLU,Guilherme,L,1.0,0,0,0,0
FLU,Hudson,M,4.97,0,0,0,0
FLU,Igor Julião,L,2.99,0,0,0,0
FLU,João Lopes,G,2.0,0,0,0,0
FLU,Luan,Z,1.0,0,0,0,0
FLU,Luccas Claro,Z,5.33,0,0,0,0
FLU,Luiz Henrique,A,2.01,0,0,0,0
FLU,Marcelo Pitaluga ,G,2.0,0,0,0,0
FLU,Marcos Felipe ,G,0.77,0,0,0,0
FLU,Marcos Paulo,A,5.33,0,0,0,0
FLU,Martinelli,M,1.0,0,0,0,0
FLU,Matheus Ferraz,Z,6.0,0,0,0,0
FLU,Matheus Pato,A,2.0,0,0,0,0
FLU,Michel Araújo ,M,6.46,0,0,0,0
FLU,Miguel,M,1.92,0,0,0,0
FLU,Muriel,G,4.17,0,0,0,0
FLU,Nascimento,M,1.0,0,0,0,0
FLU,Nenê,M,15.02,0,0,0,0
FLU,Nino,Z,3.84,0,0,0,0
FLU,Orinho,L,4.0,0,0,0,0
FLU,Pablo Dyego,A,2.0,0,0,0,0
FLU,Wellington Silva,A,3.24,0,0,0,0
FLU,Yago Felipe,M,3.43,0,0,0,0
FLU,Yuri Lima,M,1.8,0,0,0,0
FOR,Bruno Melo,L,3.92,0,0,0,0
FOR,Carlinhos,L,6.74,0,0,0,0
FOR,David,A,2.85,0,0,0,0
FOR,Derley,M,2.82,0,0,0,0
FOR,Diguinho,Z,2.0,0,0,0,0
FOR,Edson Cariús,A,3.21,0,0,0,0
FOR,Felipe,M,6.53,0,0,0,0
FOR,Felipe Alves,G,3.75,0,0,0,0
FOR,Fragapane,A,1.98,0,0,0,0
FOR,Gabriel Dias,L,5.76,0,0,0,0
FOR,Geilson,M,1.0,0,0,0,0
FOR,Gustavo Coutinho,A,1.0,0,0,0,0
FOR,Jackson,Z,4.28,0,0,0,0
FOR,Juninho,M,2.45,0,0,0,0
FOR,Luiz Henrique,M,1.66,0,0,0,0
FOR,Marcelo Boeck,G,4.0,0,0,0,0
FOR,Mariano Vázquez,M,1.19,0,0,0,0
FOR,Marlon,M,3.23,0,0,0,0
FOR,Max Walef,G,2.0,0,0,0,0
FOR,Nenê Bonilha,M,3.0,0,0,0,0
FOR,Osvaldo,A,5.67,0,0,0,0
FOR,Paulão,Z,3.64,0,0,0,0
FOR,Quintero,Z,2.72,0,0,0,0
FOR,Roger Carvalho,Z,4.0,0,0,0,0
FOR,Romarinho,A,8.72,0,0,0,0
FOR,Ronald,M,2.4,0,0,0,0
FOR,Sammuel,L,1.0,0,0,0,0
FOR,Tiago Orobó,A,1.7,0,0,0,0
FOR,Tinga,L,6.93,0,0,0,0
FOR,Wellington Paulista,A,7.78,0,0,0,0
FOR,Yuri César ,A,4.48,0,0,0,0
FOR,Éderson,A,2.59,0,0,0,0
GOI,Breno,M,3.98,0,0,0,0
GOI,Caju,L,4.12,0,0,0,0
GOI,Daniel Bessa,M,6.8,0,0,0,0
GOI,Daniel Oliveira,L,2.15,0,0,0,0
GOI,David Duarte,Z,4.47,0,0,0,0
GOI,Douglas Baggio,A,4.06,0,0,0,0
GOI,Edílson,L,6.36,0,0,0,0
GOI,Filipe Trindade,M,2.0,0,0,0,0
GOI,Fábio Sanches,Z,5.74,0,0,0,0
GOI,Gilberto,M,2.72,0,0,0,0
GOI,Henrique Almeida,A,5.0,0,0,0,0
GOI,Henrique Lordelo,M,1.0,0,0,0,0
GOI,Heron,Z,0.75,0,0,0,0
GOI,Ignacio Jara ,M,2.93,0,0,0,0
GOI,Jefferson,L,5.15,0,0,0,0
GOI,Kaio,M,3.0,0,0,0,0
GOI,Keko ,A,2.29,0,0,0,0
GOI,Lucão,Z,3.0,0,0,0,0
GOI,Lucão do Break,A,3.0,0,0,0,0
GOI,Marcelo Rangel,G,0.77,0,0,0,0
GOI,Matheus Alves,G,1.0,0,0,0,0
GOI,Miguel Figueira,M,1.38,0,0,0,0
GOI,Mike,A,3.01,0,0,0,0
GOI,Pintado,L,2.78,0,0,0,0
GOI,Quevedo,A,0.85,0,0,0,0
GOI,Rafael Moura,A,5.23,0,0,0,0
GOI,Rafael Vaz,Z,5.7,0,0,0,0
GOI,Ratinho,M,1.67,0,0,0,0
GOI,Rezende,M,1.0,0,0,0,0
GOI,Rodrigues,L,1.48,0,0,0,0
GOI,Sandro,M,3.12,0,0,0,0
GOI,Tadeu,G,8.78,0,0,0,0
GOI,Thalles,M,3.27,0,0,0,0
GOI,Victor Andrade,A,5.36,0,0,0,0
GOI,Vidal,L,2.0,0,0,0,0
GOI,Vinícius,A,5.78,0,0,0,0
GOI,Walisson Pequeno,M,2.0,0,0,0,0
GOI,Yago Rocha,L,3.06,0,0,0,0
GOI,Zeca,A,0.75,0,0,0,0
GRE,Alisson,M,11.83,0,0,0,0
GRE,Brenno,G,1.0,0,0,0,0
GRE,Bruno Cortez,L,10.4,0,0,0,0
GRE,Darlan,M,4.72,0,0,0,0
GRE,David Braz,Z,8.87,0,0,0,0
GRE,Diego Souza,A,8.67,0,0,0,0
GRE,Diogo Barbosa,L,7.32,0,0,0,0
GRE,Everton,M,5.99,0,0,0,0
GRE,Fabrício,A,0.77,0,0,0,0
GRE,Ferreira,A,5.17,0,0,0,0
GRE,Guilherme Azevedo,A,1.29,0,0,0,0
GRE,Guilherme Guedes,L,3.0,0,0,0,0
GRE,Isaque,A,4.57,0,0,0,0
GRE,Jean Pyerre,M,12.85,0,0,0,0
GRE,Júlio César,G,4.0,0,0,0,0
GRE,Kannemann,Z,11.23,0,0,0,0
GRE,Leonardo,L,6.0,0,0,0,0
GRE,Lucas Araújo,M,1.0,0,0,0,0
GRE,Lucas Silva,M,5.06,0,0,0,0
GRE,Luiz Fernando ,A,4.42,0,0,0,0
GRE,Maicon,M,3.15,0,0,0,0
GRE,Marcelo Oliveira,Z,3.0,0,0,0,0
GRE,Matheus Henrique,M,5.78,0,0,0,0
GRE,Orejuela,L,8.44,0,0,0,0
GRE,Patrick,M,2.74,0,0,0,0
GRE,Paulo Miranda,Z,2.64,0,0,0,0
GRE,Paulo Victor,G,7.25,0,0,0,0
GRE,Pedro Geromel,Z,10.82,0,0,0,0
GRE,Pepê,A,13.86,0,0,0,0
GRE,Rildo,M,0.77,0,0,0,0
GRE,Robinho,M,4.14,0,0,0,0
GRE,Rodrigues,Z,2.42,0,0,0,0
GRE,Ruan,Z,0.74,0,0,0,0
GRE,Thaciano,M,5.18,0,0,0,0
GRE,Vanderlei,G,7.79,0,0,0,0
GRE,Victor Ferraz,L,6.17,0,0,0,0
INT,Abel Hernández,A,6.53,0,0,0,0
INT,Amaya,A,1.0,0,0,0,0
INT,Boschilia,M,7.12,0,0,0,0
INT,Carlos Eduardo,Z,1.0,0,0,0,0
INT,Cesinha,M,1.0,0,0,0,0
INT,D'Alessandro,M,2.8,0,0,0,0
INT,Daniel,G,2.0,0,0,0,0
INT,Danilo Fernandes,G,6.0,0,0,0,0
INT,Edenílson,M,7.62,0,0,0,0
INT,Heitor,L,4.0,0,0,0,0
INT,Johnny ,M,2.48,0,0,0,0
INT,Keiller,G,2.0,0,0,0,0
INT,Leandro Fernández,A,7.3,0,0,0,0
INT,Leo Ferreira,A,1.45,0,0,0,0
INT,Leonardo Borges,L,1.0,0,0,0,0
INT,Lucas Ribeiro,Z,4.0,0,0,0,0
INT,Marcelo Lomba,G,8.27,0,0,0,0
INT,Marcos Guilherme ,M,2.87,0,0,0,0
INT,Matheus Jussa,Z,2.32,0,0,0,0
INT,Moisés,L,10.48,0,0,0,0
INT,Musto,M,6.31,0,0,0,0
INT,Nonato,M,4.55,0,0,0,0
INT,Paolo Guerrero,A,20.81,0,0,0,0
INT,Patrick,M,10.18,0,0,0,0
INT,Pedro Henrique,Z,0.77,0,0,0,0
INT,Peglow,M,1.74,0,0,0,0
INT,Praxedes,M,0.77,0,0,0,0
INT,Rodinei,L,4.36,0,0,0,0
INT,Rodrigo Dourado,M,6.0,0,0,0,0
INT,Rodrigo Lindoso,M,4.8,0,0,0,0
INT,Rodrigo Moledo,Z,5.97,0,0,0,0
INT,Saravia,L,18.78,0,0,0,0
INT,Thiago Galhardo,M,16.85,0,0,0,0
INT,Tiago Barbosa,Z,2.0,0,0,0,0
INT,Uendel,L,4.0,0,0,0,0
INT,Víctor Cuesta,Z,10.59,0,0,0,0
INT,William Pottker,A,3.36,0,0,0,0
INT,Yuri Alberto,A,2.16,0,0,0,0
INT,Zé Gabriel,M,2.64,0,0,0,0
PAL,Bruno Henrique,M,6.58,0,0,0,0
PAL,Danilo,M,2.51,0,0,0,0
PAL,Emerson Santos,Z,4.0,0,0,0,0
PAL,Esteves,L,2.0,0,0,0,0
PAL,Felipe Melo,Z,5.93,0,0,0,0
PAL,Gabriel Menino,M,4.93,0,0,0,0
PAL,Gabriel Silva,M,0.77,0,0,0,0
PAL,Gabriel Veron,A,5.73,0,0,0,0
PAL,Gustavo Gómez,Z,12.04,0,0,0,0
PAL,Gustavo Scarpa,M,6.76,0,0,0,0
PAL,Iván Angulo,A,4.0,0,0,0,0
PAL,Jailson,G,3.06,0,0,0,0
PAL,Luan,Z,5.59,0,0,0,0
PAL,Luan Silva,A,2.0,0,0,0,0
PAL,Lucas Lima,M,5.01,0,0,0,0
PAL,Luiz Adriano,A,10.8,0,0,0,0
PAL,Marcos Rocha,L,8.12,0,0,0,0
PAL,Mayke,L,5.55,0,0,0,0
