Time,Jogador,Posição,Preço,Pontuação Total,Partidas,Média,Média por C$
INT,Víctor Cuesta,Z,11.92,0,0,0,0
INT,Boschilia,M,5.11,0,0,0,0
INT,D'Alessandro,M,4.11,0,0,0,0
INT,Edenilson,M,8.01,0,0,0,0
INT,Marcos Guilherme,M,4.21,0,0,0,0
INT,Musto,M,7.46,0,0,0,0
INT,Nonato,M,5,0,0,0,0
INT,Patrick,M,9.89,0,0,0,0
INT,Peglow,M,2.76,0,0,0,0
INT,Praxedes,M,0.75,0,0,0,0
INT,Rodrigo Lindoso,M,5.23,0,0,0,0
INT,Sarrafiore,M,3,0,0,0,0
INT,Thiago Galhardo,M,14.34,0,0,0,0
INT,Zé Gabriel,M,2.45,0,0,0,0
INT,Paolo Guerrero,A,20.81,0,0,0,0
INT,William Pottker,A,3.36,0,0,0,0
INT,Yuri Alberto,A,2.16,0,0,0,0
PAL,Jailson,G,3.06,0,0,0,0
PAL,Weverton,G,10.23,0,0,0,0
PAL,Diogo Barbosa,L,8.95,0,0,0,0
PAL,Marcos Rocha,L,9.28,0,0,0,0
PAL,Mayke,L,7,0,0,0,0
PAL,Viña,L,7.4,0,0,0,0
PAL,Felipe Melo,Z,8,0,0,0,0
PAL,Gustavo Gomez,Z,13.4,0,0,0,0
PAL,Luan,Z,5.73,0,0,0,0
PAL,Vitor Hugo,Z,5.49,0,0,0,0
PAL,Bruno Henrique,M,7.49,0,0,0,0
PAL,Gabriel Menino,M,5.18,0,0,0,0
PAL,Gustavo Scarpa,M,6.11,0,0,0,0
PAL,Lucas Lima,M,5.24,0,0,0,0
PAL,Patrick de Paula,M,2.16,0,0,0,0
PAL,Ramires,M,6.37,0,0,0,0
PAL,Raphael Veiga,M,8.78,0,0,0,0
PAL,Zé Rafael,M,9.92,0,0,0,0
PAL,Luiz Adriano,A,10.57,0,0,0,0
PAL,Rony,A,11.34,0,0,0,0
PAL,Wesley,A,2.68,0,0,0,0
PAL,Willian,A,8.72,0,0,0,0
RBB,Julio César,G,6,0,0,0,0
RBB,Cleiton,G,1.96,0,0,0,0
RBB,Aderlan,L,10.7,0,0,0,0
RBB,Edimar,L,3.18,0,0,0,0
RBB,Luan Cândido,L,2,0,0,0,0
RBB,Weverson,L,0.75,0,0,0,0
RBB,Weverton,L,1.26,0,0,0,0
RBB,Fabrício Bruno,Z,2.44,0,0,0,0
RBB,Ligger,Z,3.94,0,0,0,0
RBB,Léo Ortiz,Z,7.25,0,0,0,0
RBB,Realpe,Z,4,0,0,0,0
RBB,Barreto,M,4.02,0,0,0,0
RBB,Bruno Tubarão,M,1.61,0,0,0,0
RBB,Lucas Evangelista,M,2.22,0,0,0,0
RBB,Matheus Jesus,M,4.88,0,0,0,0
RBB,Ricardo Ryller,M,2.89,0,0,0,0
RBB,Uillian Correia,M,4,0,0,0,0
RBB,Vitinho,M,3,0,0,0,0
RBB,Alerrandro,A,10.49,0,0,0,0
RBB,Artur,A,12.35,0,0,0,0
RBB,Claudinho,A,13.05,0,0,0,0
RBB,Luis Phelipe,A,5.66,0,0,0,0
RBB,Morato,A,3.29,0,0,0,0
RBB,Robinho,A,2.86,0,0,0,0
RBB,Ytalo,A,5.12,0,0,0,0
SAN,João Paulo,G,8.2,0,0,0,0
SAN,Vladimir,G,6.43,0,0,0,0
SAN,Felipe Jonatan,L,11.9,0,0,0,0
SAN,Madson,L,4.26,0,0,0,0
SAN,Pará,L,8.53,0,0,0,0
SAN,Alex,Z,2.48,0,0,0,0
SAN,Luan Peres,Z,6.7,0,0,0,0
SAN,Lucas Veríssimo,Z,8.09,0,0,0,0
SAN,Luiz Felipe,Z,4.39,0,0,0,0
SAN,Alison,M,10.84,0,0,0,0
SAN,Anderson Ceará,M,2,0,0,0,0
SAN,Carlos Sánchez,M,5.74,0,0,0,0
SAN,Diego Pituca,M,7.58,0,0,0,0
SAN,Ivonei,M,1.14,0,0,0,0
SAN,Jean Mota,M,4.02,0,0,0,0
SAN,Jobson,M,5.41,0,0,0,0
SAN,Sandry,M,2,0,0,0,0
SAN,Arthur Gomes,A,4,0,0,0,0
SAN,Kaio Jorge,A,4.67,0,0,0,0
SAN,Lucas Braga,A,2.23,0,0,0,0
SAN,Marcos Leonardo,A,0.75,0,0,0,0
SAN,Marinho,A,22.5,0,0,0,0
SAN,Raniel,A,6,0,0,0,0
SAN,Soteldo,A,6.04,0,0,0,0
SAN,Tailson,A,2.79,0,0,0,0
SAN,Uribe,A,3.33,0,0,0,0
SAO,Tiago Volpi,G,16.28,0,0,0,0
SAO,Juanfran,L,7.22,0,0,0,0
SAO,Igor Vinicius,L,4.19,0,0,0,0
SAO,Léo,L,2.97,0,0,0,0
SAO,Reinaldo,L,14.36,0,0,0,0
SAO,Arboleda,Z,9.65,0,0,0,0
SAO,Bruno Alves,Z,9.28,0,0,0,0
SAO,Diego,Z,2,0,0,0,0
SAO,Daniel Alves,M,13.69,0,0,0,0
SAO,Gabriel Sara,M,1.27,0,0,0,0
SAO,Hernanes,M,10,0,0,0,0
SAO,Igor Gomes,M,3.2,0,0,0,0
SAO,Liziero,M,4.75,0,0,0,0
SAO,Luan,M,4.44,0,0,0,0
SAO,Rodrigo Nestor,M,2,0,0,0,0
SAO,Shaylon,M,3,0,0,0,0
SAO,Tchê Tchê,M,7.86,0,0,0,0
SAO,Vitor Bueno,M,7.31,0,0,0,0
SAO,Danilo Gomes,A,1,0,0,0,0
SAO,Gonzalo Carneiro,A,4.09,0,0,0,0
SAO,Helinho,A,3.4,0,0,0,0
SAO,Luciano,A,6.67,0,0,0,0
SAO,Pablo,A,7.65,0,0,0,0
SAO,Paulinho Boia,A,4.4,0,0,0,0
SPO,Luan Polli,G,6,0,0,0,0
SPO,Maílson,G,2.63,0,0,0,0
SPO,Luciano Juba,L,0.75,0,0,0,0
SPO,Patric,L,6.64,0,0,0,0
SPO,Rafael Luiz,L,1.43,0,0,0,0
SPO,Raul Prata,L,5,0,0,0,0
SPO,Sander,L,9.41,0,0,0,0
SPO,Adryelson,Z,2.39,0,0,0,0
SPO,Chico,Z,2,0,0,0,0
SPO,Iago Maidana,Z,4.97,0,0,0,0
SPO,Betinho,M,3.91,0,0,0,0
SPO,Bruninho,M,4.65,0,0,0,0
SPO,João Igor,M,2.9,0,0,0,0
SPO,Jonatan Gomez,M,12.07,0,0,0,0
SPO,Lucas Mugni,M,3.12,0,0,0,0
SPO,Philip,M,1.38,0,0,0,0
SPO,Ricardinho,M,2.34,0,0,0,0
SPO,Ronaldo Henrique,M,4,0,0,0,0
SPO,Willian Farias,M,4.21,0,0,0,0
SPO,Elton,A,13.03,0,0,0,0
SPO,Hernane,A,2.12,0,0,0,0
SPO,Leandro Barcia,A,7,0,0,0,0
SPO,Lucas Venuto,A,1.98,0,0,0,0
SPO,Marquinhos,A,5.19,0,0,0,0
SPO,Maxwell,A,2.54,0,0,0,0
SPO,Ronaldo Silva,A,0.75,0,0,0,0
VAS,Fernando Miguel,G,8.15,0,0,0,0
VAS,Cayo Tenório,L,3.72,0,0,0,0
VAS,Claudio Winck,L,3.15,0,0,0,0
VAS,Henrique,L,7.6,0,0,0,0
VAS,Neto Borges,L,4.43,0,0,0,0
VAS,Yago Pikachu,L,9.06,0,0,0,0
VAS,Leandro Castán,Z,15.28,0,0,0,0
VAS,Miranda,Z,3.51,0,0,0,0
VAS,Ricardo,Z,7.55,0,0,0,0
VAS,Andrey,M,5.49,0,0,0,0
VAS,Benítez,M,8.91,0,0,0,0
VAS,Bruno César,M,5,0,0,0,0
VAS,Bruno Gomes,M,3.04,0,0,0,0
VAS,Carlinhos,M,4.5,0,0,0,0
VAS,Fellipe Bastos,M,11.93,0,0,0,0
VAS,Gabriel Pec,M,2.48,0,0,0,0
VAS,Lucas Santos,M,2.13,0,0,0,0
VAS,Marcos Júnior,M,2.65,0,0,0,0
VAS,Raul,M,7,0,0,0,0
VAS,Cano,A,12.54,0,0,0,0
VAS,Guilherme Parede,A,2.67,0,0,0,0
VAS,Ribamar,A,6.14,0,0,0,0
VAS,Talles Magno,A,9.91,0,0,0,0
VAS,Vinicius,A,4,0,0,0,0
